user_id,compliment_id,counts
---2PmXbF47D870stH1jqA,com-001,63
---2PmXbF47D870stH1jqA,com-002,4
---2PmXbF47D870stH1jqA,com-003,36
---2PmXbF47D870stH1jqA,com-004,0
--b3mG8vBmMthLCXX6jwjg,com-001,4
--b3mG8vBmMthLCXX6jwjg,com-002,0
--b3mG8vBmMthLCXX6jwjg,com-003,0
--b3mG8vBmMthLCXX6jwjg,com-004,0
--wrBTUWyJ4QOoULiqt3kw,com-002,0
--wrBTUWyJ4QOoULiqt3kw,com-001,0
--wrBTUWyJ4QOoULiqt3kw,com-003,0
--wrBTUWyJ4QOoULiqt3kw,com-004,0
-0-ABwLCZyH38THNiRf4IA,com-004,0
-0-ABwLCZyH38THNiRf4IA,com-001,0
-0-ABwLCZyH38THNiRf4IA,com-002,1
-0-ABwLCZyH38THNiRf4IA,com-003,0
-07OXLi5R1Q5xnsTbigROQ,com-003,1
-07OXLi5R1Q5xnsTbigROQ,com-004,0
-07OXLi5R1Q5xnsTbigROQ,com-001,0
-07OXLi5R1Q5xnsTbigROQ,com-002,0
-0ETp3hjH-Ia4fgQa_RwoQ,com-003,0
-0ETp3hjH-Ia4fgQa_RwoQ,com-002,0
-0ETp3hjH-Ia4fgQa_RwoQ,com-001,0
-0ETp3hjH-Ia4fgQa_RwoQ,com-004,0
-0UVXweNi2S2-DKJVJhrQA,com-001,1
-0UVXweNi2S2-DKJVJhrQA,com-003,0
-0UVXweNi2S2-DKJVJhrQA,com-002,1
-0UVXweNi2S2-DKJVJhrQA,com-004,0
-1FI0JMeFhgno85iVhoz6Q,com-002,0
-1FI0JMeFhgno85iVhoz6Q,com-003,0
-1FI0JMeFhgno85iVhoz6Q,com-001,0
-1FI0JMeFhgno85iVhoz6Q,com-004,0
-2UC8Zxln1r4WpY4NIw9zw,com-004,0
-2UC8Zxln1r4WpY4NIw9zw,com-002,0
-2UC8Zxln1r4WpY4NIw9zw,com-003,0
-2UC8Zxln1r4WpY4NIw9zw,com-001,2
-2g664plRlHuUOFSECdG9A,com-002,0
-2g664plRlHuUOFSECdG9A,com-003,0
-2g664plRlHuUOFSECdG9A,com-001,2
-2g664plRlHuUOFSECdG9A,com-004,0
-2idQbwlpcf_-egRwNIObg,com-001,11
-2idQbwlpcf_-egRwNIObg,com-002,3
-2idQbwlpcf_-egRwNIObg,com-003,5
-2idQbwlpcf_-egRwNIObg,com-004,0
-3FxNo0fleH_24gHZ_j29A,com-004,0
-3FxNo0fleH_24gHZ_j29A,com-001,28
-3FxNo0fleH_24gHZ_j29A,com-002,2
-3FxNo0fleH_24gHZ_j29A,com-003,4
-3dgUxg5GJEE5dWl947SzQ,com-002,0
-3dgUxg5GJEE5dWl947SzQ,com-004,0
-3dgUxg5GJEE5dWl947SzQ,com-003,0
-3dgUxg5GJEE5dWl947SzQ,com-001,2
-3qm-liBz1MybIgqowoeNA,com-004,0
-3qm-liBz1MybIgqowoeNA,com-001,3
-3qm-liBz1MybIgqowoeNA,com-002,1
-3qm-liBz1MybIgqowoeNA,com-003,0
-49VO6EnRppS5vehdRJmJQ,com-004,0
-49VO6EnRppS5vehdRJmJQ,com-001,21
-49VO6EnRppS5vehdRJmJQ,com-003,5
-49VO6EnRppS5vehdRJmJQ,com-002,5
-4vkTh2rImD8c0-30h2uvw,com-002,38
-4vkTh2rImD8c0-30h2uvw,com-003,149
-4vkTh2rImD8c0-30h2uvw,com-001,219
-4vkTh2rImD8c0-30h2uvw,com-004,0
-53HWugo0akLsBXKR3_3Lg,com-003,0
-53HWugo0akLsBXKR3_3Lg,com-002,0
-53HWugo0akLsBXKR3_3Lg,com-004,0
-53HWugo0akLsBXKR3_3Lg,com-001,0
-544YIH1jK4ZpVGbWz1JJQ,com-004,0
-544YIH1jK4ZpVGbWz1JJQ,com-003,22
-544YIH1jK4ZpVGbWz1JJQ,com-001,71
-544YIH1jK4ZpVGbWz1JJQ,com-002,10
-54tzm3ZFiVNWJhwabsIXQ,com-002,0
-54tzm3ZFiVNWJhwabsIXQ,com-004,0
-54tzm3ZFiVNWJhwabsIXQ,com-001,0
-54tzm3ZFiVNWJhwabsIXQ,com-003,0
-5Slg5hO3useiypXYgZkGg,com-004,1
-5Slg5hO3useiypXYgZkGg,com-001,66
-5Slg5hO3useiypXYgZkGg,com-003,55
